run_at,mode,topK,iters,service,consistency,avg_ms,p50_ms,p95_ms,max_ms,min_ms,calls,queries,sessions,since,until,warm,cache_temp,exhaustive_max,server_ms_avg
2026-06-24T14:46:01.000Z,filtered-session,50,50,qdrant,strong,55.5,54.9,67.2,72.6,9.4,250,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,50,50,opensearch,strong,11.1,10.7,13.5,16.3,8.7,250,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,50,50,turbopuffer,strong,48.2,46.9,56.7,94.8,43.6,250,5,,2026-06-10,,true,hot,0,31.1
2026-06-24T14:46:01.000Z,filtered-time,50,50,pinecone,strong,24.7,21.6,46,89.2,18.8,250,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,50,50,qdrant,strong,62,60.1,70.3,72.2,11.8,250,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,50,50,opensearch,strong,15.8,15.1,19.6,61.6,12.5,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,5,5,turbopuffer,eventual,10.8,10.6,12,12.5,9.9,25,5,,,,true,hot,0,5.8
2026-06-24T14:56:38.000Z,unfiltered,5,5,pinecone,eventual,22.8,21.5,31.5,34.8,18.8,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,5,5,qdrant,eventual,59.9,63.2,85.3,86,18.5,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,5,5,opensearch,eventual,12.4,12.5,14.4,14.8,9.7,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,5,5,turbopuffer,eventual,26.3,26,30,31.1,24.2,25,5,2163,,,true,hot,0,12.2
2026-06-24T14:56:38.000Z,filtered-session,5,5,pinecone,eventual,19.5,18.9,26.4,28.1,16.7,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,5,5,qdrant,eventual,10.8,10.2,13.2,14.7,9.4,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,5,5,opensearch,eventual,11.6,11.2,15.2,15.7,9.1,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,5,5,turbopuffer,eventual,46.8,46.3,51.9,60.9,42.7,25,5,,2026-06-10,,true,hot,0,25.2
2026-06-24T14:56:38.000Z,filtered-time,5,5,pinecone,eventual,24.4,21.1,41.5,88,18.5,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,5,5,qdrant,eventual,11.1,10.8,13.2,14,9.5,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,5,5,opensearch,eventual,16.7,16.6,21.6,22.8,13.6,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,5,50,turbopuffer,eventual,11,10.8,12.8,15.7,9.6,250,5,,,,true,hot,0,5.9
2026-06-24T14:56:38.000Z,unfiltered,5,50,pinecone,eventual,24.4,21.8,42.8,82.4,18.1,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,5,50,qdrant,eventual,60.7,62.1,67.7,85.9,18.9,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,5,50,opensearch,eventual,12.7,12,17,52.8,9.8,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,5,50,turbopuffer,eventual,26.7,26.4,29.9,41.6,23.3,250,5,2163,,,true,hot,0,12.1
2026-06-24T14:56:38.000Z,filtered-session,5,50,pinecone,eventual,22.5,19.7,35.7,124.1,15.7,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,5,50,qdrant,eventual,7.8,7.4,10.2,16.2,6.2,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,5,50,opensearch,eventual,11.3,10.7,14.6,51.7,8.6,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,5,50,turbopuffer,eventual,44.9,44.3,49.9,59.8,41.6,250,5,,2026-06-10,,true,hot,0,24.1
2026-06-24T14:56:38.000Z,filtered-time,5,50,pinecone,eventual,23.2,20.5,37.4,104.1,17,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,5,50,qdrant,eventual,12.4,10.4,19.1,27.4,8.5,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,5,50,opensearch,eventual,15.1,14.7,18.3,25.8,11.9,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,10,5,turbopuffer,eventual,11.4,11.4,12.7,12.7,10.3,25,5,,,,true,hot,0,6.1
2026-06-24T14:56:38.000Z,unfiltered,10,5,pinecone,eventual,23.8,22.3,32.5,38.5,19.5,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,10,5,qdrant,eventual,69.6,70.1,80.5,90,22.9,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,10,5,opensearch,eventual,14.1,13.3,18.7,20,11.2,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,10,5,turbopuffer,eventual,26.7,26.3,29.2,29.7,24.6,25,5,2163,,,true,hot,0,12.1
2026-06-24T14:56:38.000Z,filtered-session,10,5,pinecone,eventual,19.9,19.8,22.7,23.5,17.2,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,10,5,qdrant,eventual,52.3,54.3,65.9,69.7,8.5,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,10,5,opensearch,eventual,12.1,11.9,14.4,15.4,10,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,10,5,turbopuffer,eventual,46,45.8,47.9,54.6,43.3,25,5,,2026-06-10,,true,hot,0,24.7
2026-06-24T14:56:38.000Z,filtered-time,10,5,pinecone,eventual,24.4,22,36.7,47,19.9,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,10,5,qdrant,eventual,58.1,59.9,69.8,72.3,49.7,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,10,5,opensearch,eventual,17.3,16.2,26.8,28.6,12.4,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,10,50,turbopuffer,eventual,12.1,12.1,14,15.6,9.6,250,5,,,,true,hot,0,6.2
2026-06-24T14:56:38.000Z,unfiltered,10,50,pinecone,eventual,25.8,22.6,41.3,101.6,18.3,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,10,50,qdrant,eventual,72.3,70,89.4,129.6,58.6,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,10,50,opensearch,eventual,13.1,12.8,16.9,22.7,10.2,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,10,50,turbopuffer,eventual,25.9,25.6,29.2,32.7,23.8,250,5,2163,,,true,hot,0,11.8
2026-06-24T14:56:38.000Z,filtered-session,10,50,pinecone,eventual,22.2,20,31.6,67.7,16.9,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,10,50,qdrant,eventual,52.2,53.3,64.8,70.3,7.2,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,10,50,opensearch,eventual,13.6,11.7,23.1,64.7,9,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,10,50,turbopuffer,eventual,44.8,44.2,49.8,65.5,41.2,250,5,,2026-06-10,,true,hot,0,24.3
2026-06-24T14:56:38.000Z,filtered-time,10,50,pinecone,eventual,25.4,20.9,39.6,304.3,17,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,10,50,qdrant,eventual,56.5,59.4,70,72.2,10.1,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,10,50,opensearch,eventual,15.3,15,18.4,28.2,12.3,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,50,5,turbopuffer,eventual,12.1,12,13.3,14.5,11,25,5,,,,true,hot,0,6.6
2026-06-24T14:56:38.000Z,unfiltered,50,5,pinecone,eventual,31.7,25.8,66,83,19.7,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,50,5,qdrant,eventual,71.8,70,80,80.2,59.9,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,50,5,opensearch,eventual,16,15.1,20.2,20.7,13.4,25,5,,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,50,5,turbopuffer,eventual,28.1,27.5,30.9,32.1,25.9,25,5,2163,,,true,hot,0,13.1
2026-06-24T14:56:38.000Z,filtered-session,50,5,pinecone,eventual,22.3,21,29.4,30.2,18,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,50,5,qdrant,eventual,57.4,54.4,66.8,68.4,52.1,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,50,5,opensearch,eventual,11.8,11.1,14.7,18.6,9.4,25,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,50,5,turbopuffer,eventual,47.7,47.7,52,53.6,44.8,25,5,,2026-06-10,,true,hot,0,25.6
2026-06-24T14:56:38.000Z,filtered-time,50,5,pinecone,eventual,25.3,22.4,35.2,72.3,19.6,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,50,5,qdrant,eventual,61.4,60,70,70.2,50.9,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,50,5,opensearch,eventual,121.7,18.7,171.9,2394.1,13.5,25,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,50,50,turbopuffer,eventual,12.6,12.5,14.8,17.8,10.6,250,5,,,,true,hot,0,6.9
2026-06-24T14:56:38.000Z,unfiltered,50,50,pinecone,eventual,27.2,22.7,50,116.3,18,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,50,50,qdrant,eventual,74.2,70.1,90,138.6,30.7,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,unfiltered,50,50,opensearch,eventual,27,15.7,39.7,1426.3,12.5,250,5,,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,50,50,turbopuffer,eventual,29.9,28.5,37.5,77.5,25.5,250,5,2163,,,true,hot,0,13.8
2026-06-24T14:56:38.000Z,filtered-session,50,50,pinecone,eventual,22,20.6,29.1,97.1,17.2,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,50,50,qdrant,eventual,52.8,54.2,65.1,75.2,9.6,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-session,50,50,opensearch,eventual,30.3,11,22.7,1718.1,8.8,250,5,2163,,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,50,50,turbopuffer,eventual,49.7,48.8,56.6,70.3,44.5,250,5,,2026-06-10,,true,hot,0,26.8
2026-06-24T14:56:38.000Z,filtered-time,50,50,pinecone,eventual,23.8,21.4,40.8,110.3,17.6,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,50,50,qdrant,eventual,62.4,60.1,70.2,72.5,12.7,250,5,,2026-06-10,,true,,,
2026-06-24T14:56:38.000Z,filtered-time,50,50,opensearch,eventual,23.7,15.9,52.6,390.7,12.5,250,5,,2026-06-10,,true,,,
